Response,Concentrations,Varieties
0.71,10.2,1
1.66,10.2,1
2.01,10.2,1
2.16,10.2,1
2.42,10.2,1
2.42,10.2,1
2.56,10.2,1
2.6,10.2,1
3.31,10.2,1
3.64,10.2,1
3.74,10.2,1
3.74,10.2,1
4.39,10.2,1
4.5,10.2,1
5.07,10.2,1
5.26,10.2,1
8.15,10.2,1
8.24,10.2,1
2.2,1.2,1
2.93,1.2,1
3.08,1.2,1
3.49,1.2,1
4.11,1.2,1
4.95,1.2,1
5.16,1.2,1
5.54,1.2,1
5.68,1.2,1
6.25,1.2,1
7.25,1.2,1
7.9,1.2,1
8.85,1.2,1
11.96,1.2,1
15.54,1.2,1
15.89,1.2,1
18.3,1.2,1
18.59,1.2,1
2.25,0.3,1
3.93,0.3,1
5.08,0.3,1
5.82,0.3,1
5.84,0.3,1
6.89,0.3,1
8.5,0.3,1
8.56,0.3,1
9.44,0.3,1
10.52,0.3,1
13.46,0.3,1
13.57,0.3,1
14.76,0.3,1
16.41,0.3,1
16.96,0.3,1
17.56,0.3,1
22.82,0.3,1
29.13,0.3,1
2.2,10.2,2
2.69,10.2,2
3.54,10.2,2
3.75,10.2,2
3.83,10.2,2
4.08,10.2,2
4.27,10.2,2
4.53,10.2,2
5.32,10.2,2
6.18,10.2,2
6.22,10.2,2
6.33,10.2,2
6.97,10.2,2
6.97,10.2,2
7.52,10.2,2
8.36,10.2,2
11.65,10.2,2
12.45,10.2,2
4.04,1.2,2
4.16,1.2,2
4.42,1.2,2
4.93,1.2,2
5.49,1.2,2
5.77,1.2,2
5.86,1.2,2
6.28,1.2,2
6.97,1.2,2
7.06,1.2,2
7.78,1.2,2
9.23,1.2,2
9.34,1.2,2
9.91,1.2,2
13.46,1.2,2
18.4,1.2,2
23.89,1.2,2
26.39,1.2,2
2.71,0.3,2
5.43,0.3,2
6.38,0.3,2
6.38,0.3,2
8.32,0.3,2
9.04,0.3,2
9.56,0.3,2
10.01,0.3,2
10.08,0.3,2
10.62,0.3,2
13.8,0.3,2
15.99,0.3,2
17.9,0.3,2
18.25,0.3,2
19.32,0.3,2
19.87,0.3,2
21.6,0.3,2
22.25,0.3,2
