measurements,lab
4.13,1
4.07,1
4.04,1
4.07,1
4.05,1
4.04,1
4.02,1
4.06,1
4.1,1
4.04,1
3.86,2
3.85,2
4.08,2
4.11,2
4.08,2
4.01,2
4.02,2
4.04,2
3.97,2
3.95,2
4,3
4.02,3
4.01,3
4.01,3
4.04,3
3.99,3
4.03,3
3.97,3
3.98,3
3.98,3
3.88,4
3.88,4
3.91,4
3.95,4
3.92,4
3.97,4
3.92,4
3.9,4
3.97,4
3.9,4
4.02,5
3.95,5
4.02,5
3.89,5
3.91,5
4.01,5
3.89,5
3.89,5
3.99,5
4,5
4.02,6
3.86,6
3.96,6
3.97,6
4,6
3.82,6
3.98,6
3.99,6
4.02,6
3.93,6
4,7
4.02,7
4.03,7
4.04,7
4.1,7
3.81,7
3.91,7
3.96,7
4.05,7
4.06,7
